SINR(dB),MCS0,MCS1,MCS2,MCS3,MCS4,MCS5,MCS6,MCS7
-4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.938,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.906,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.875,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.844,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.812,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.781,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.719,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.688,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.656,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.625,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.594,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.562,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.531,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.469,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.406,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.375,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.281,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-3.188,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
